机构id	机构名称	上级id	上级机构名称	第三方id
1001	产业园区事业部	1000	招商局蛇口工业区控股股份有限公司	CM0081001051
1005	园区运营中心	1001	产业园区事业部	CM0081001070
1006	文化产业公司	1001	产业园区事业部	CM0081002349
1412223	南油平方	1001	产业园区事业部	CM0081001077
1412225	前海平方	1412223	南油平方	CM0081001078
1421200	番禺科技园	1001	产业园区事业部	CM0081000331
1428210	1	1025	水湾商乐路商铺	NULL
1434208	产园-深圳公司	1001	产业园区事业部	30108098
1434213	蛇口网谷	1434208	产园-深圳公司	30108116
1434214	福海意库	1434208	产园-深圳公司	30108118
1434215	福永意库	1434208	产园-深圳公司	30108117
1434216	高铁网谷	1435217	产园-南京公司	30108122
1434218	上海森兰美奂创库	1435219	产园-杭州公司	30108132
1434219	产园-重庆公司	1001	产业园区事业部	30108103
1434220	东湖意库	1434219	产园-重庆公司	30108136
1434221	招商蕲春	1435224	产园-武汉公司	20051230
1434222	东湖网谷	1435224	产园-武汉公司	20051228
1434223	高新网谷	1435224	产园-武汉公司	20051229
1435215	南海意库	1434208	产园-深圳公司	30108109
1435216	光明科技园	1434208	产园-深圳公司	30108119
1435217	产园-南京公司	1001	产业园区事业部	30108101
1435218	紫金智谷	1435217	产园-南京公司	30108123
1435219	产园-杭州公司	1001	产业园区事业部	30108102
1435220	豪华邮轮配套产业园	1435219	产园-杭州公司	30108130
1435221	信雅达创库	1435219	产园-杭州公司	30108128
1435222	金山意库	1434219	产园-重庆公司	30108134
1435223	九龙意库	1434219	产园-重庆公司	30108135
1435224	产园-武汉公司	1001	产业园区事业部	20051227
1435225	产园-青岛公司	1001	产业园区事业部	20051256
1435226	蓝湾网谷	1435225	产园-青岛公司	20051257
1435227	合肥庐州意库	1435217	产园-南京公司	30108126
1435228	仙东网谷	1435217	产园-南京公司	30108125
1436199	番禺科技园	1421200	番禺科技园	NULL
1436200	零星物业	1434208	产园-深圳公司	NULL
1436202	文化公司其他租赁	1006	文化产业公司	NULL
1436203	海上世界文化艺术中心	1006	文化产业公司	CM0081002349
1436204	北京产业创新中心	1005	园区运营中心	NULL
1436205	价值工厂	1005	园区运营中心	NULL
1436206	南海意库-商业	1005	园区运营中心	NULL
1436207	蛇口网谷-商业	1005	园区运营中心	NULL
1436208	南油集团-仓库	1412223	南油平方	NULL
1436237	运河网谷	1435219	产园-杭州公司	NULL
1437196	南油集团	1412223	南油平方	NULL
1437198	创业壹号A座招商创库	1005	园区运营中心	NULL
1437199	园区运营中心其他	1005	园区运营中心	NULL
1437200	南油集团-辅助楼	1412223	南油平方	NULL
1437241	无锡太湖新城	1435217	产园-南京公司	NULL
