ORGAN_ID	项目名称	上级机构id	上级机构名称
1413272	前海平方园	1412225	前海平方
1007	宝耀三期	1434213	蛇口网谷
1008	宝耀大厦	1434213	蛇口网谷
1009	万联大厦	1434213	蛇口网谷
1010	宝耀二期	1434213	蛇口网谷
1017	宏达镜业厂房	1434213	蛇口网谷
1032	科健大厦	1434213	蛇口网谷
1412261	北科创业大厦	1434213	蛇口网谷
1413239	南山大厦	1434213	蛇口网谷
1430200	创业壹号BCD座	1434213	蛇口网谷
1430201	万海大厦	1434213	蛇口网谷
1431202	万融大厦	1434213	蛇口网谷
1431205	万维大厦	1434213	蛇口网谷
1435201	联合大厦十一十二层	1434213	蛇口网谷
1427226	福海意库商铺	1434214	福海意库
1427228	福海意库厂房	1434214	福海意库
1425198	福永意库	1434215	福永意库
1421251	招商高铁网谷	1434216	高铁网谷
1422197	招商高铁网谷（商业）	1434216	高铁网谷
1437226	高铁网谷C座	1434216	高铁网谷
1427213	森兰美奂创库	1434218	上海森兰美奂创库
1424266	南昌东湖意库	1434220	东湖意库
1413202	招商局蕲春产业促进中心	1434221	招商蕲春
1436229	招商局蕲春健康产业科技园	1434221	招商蕲春
1424227	东湖网谷一期	1434222	东湖网谷
1427224	东湖网谷二期	1434222	东湖网谷
1436221	东湖网谷公寓	1434222	东湖网谷
1436225	东湖网谷停车场	1434222	东湖网谷
1427236	高新网谷	1434223	高新网谷
1036	蛇口太子路60-69号商铺	1435215	南海意库
1037	蛇口太子路70号商铺	1435215	南海意库
1412215	南海意库	1435215	南海意库
1413273	招商局光明科技园	1435216	光明科技园
1413199	紫金智谷	1435218	紫金智谷
1436231	紫金智谷总部园	1435218	紫金智谷
1427222	招商局豪华邮轮产业园1号地	1435220	豪华邮轮配套产业园
1436219	海门邮轮研发中心	1435220	豪华邮轮配套产业园
1436250	四号地	1435220	豪华邮轮配套产业园
1437217	海门邮轮研究院	1435220	豪华邮轮配套产业园
1421227	A2信雅达	1435221	信雅达创库
1421228	A1招商创库	1435221	信雅达创库
1412212	金山意库	1435222	金山意库
1437215	重庆金山意库招商创库	1435222	金山意库
1434200	九龙意库A栋	1435223	九龙意库
1434202	九龙意库B栋	1435223	九龙意库
1434204	九龙意库C栋	1435223	九龙意库
1434206	九龙意库停车库	1435223	九龙意库
1437202	九龙意库公寓	1435223	九龙意库
1421248	基金谷	1435226	蓝湾网谷
1421249	合心园	1435226	蓝湾网谷
1427244	招商庐州意库	1435227	合肥庐州意库
1424237	仙东网谷	1435228	仙东网谷
1421201	番禺创新科技园一期	1436199	番禺科技园
1421202	番禺创新科技园二期	1436199	番禺科技园
1421203	番禺创新科技园三期	1436199	番禺科技园
1421204	番禺创新科技园公寓	1436199	番禺科技园
1421211	番禺创新科技园一期照澜院	1436199	番禺科技园
1424241	番禺创新科技园五期	1436199	番禺科技园
1436260	番禺创新科技园东区	1436199	番禺科技园
1015	太子路60-69号	1436200	零星物业
1020	招港大厦	1436200	零星物业
1025	水湾商乐路商铺	1436200	零星物业
1029	生活服务大厦	1436200	零星物业
1412216	华达电源厂房	1436200	零星物业
1412218	生活服务大厦（住宅）	1436200	零星物业
1412221	职工俱乐部（非商铺部分）	1436200	零星物业
1413240	联检楼	1436200	零星物业
1413258	青少年活动中心（本部）	1436202	文化公司其他租赁
1413259	青少年活动中心	1436202	文化公司其他租赁
1413260	体育中心	1436202	文化公司其他租赁
1413261	风华剧院A座	1436202	文化公司其他租赁
1430198	招商太子湾学校	1436202	文化公司其他租赁
1413267	海上世界文化艺术中心	1436203	海上世界文化艺术中心
1424231	境山剧场	1436203	海上世界文化艺术中心
1436212	文化艺术中心-政府共建	1436203	海上世界文化艺术中心
1436227	境山剧场-文化艺术中心	1436203	海上世界文化艺术中心
1435203	北京产业创新中心	1436204	北京产业创新中心
1413262	价值工厂	1436205	价值工厂
1413263	太阳油厂房（价值工厂二期）	1436205	价值工厂
1433221	南海意库-商业	1436206	南海意库-商业
1412260	联合大厦	1436207	蛇口网谷-商业
1413204	网谷特色街	1436207	蛇口网谷-商业
1432228	北科创业大厦-商业	1436207	蛇口网谷-商业
1432230	万融大厦-商业	1436207	蛇口网谷-商业
1432232	万维大厦-商业	1436207	蛇口网谷-商业
1433223	南山大厦-商业	1436207	蛇口网谷-商业
1433225	万海大厦-商业	1436207	蛇口网谷-商业
1413270	仓库	1436208	南油集团-仓库
1437230	杭州运河网谷	1436237	运河网谷
1437243	杭州运河网谷-创库	1436237	运河网谷
1413269	土地	1437196	南油集团
1413271	房屋	1437196	南油集团
1417196	数据中心	1437196	南油集团
1013	创业壹号A座招商创库	1437198	创业壹号A座招商创库
1023	新晨大楼	1437199	园区运营中心其他
1028	爱榕园二期幼儿园	1437199	园区运营中心其他
1030	电器展销楼	1437199	园区运营中心其他
1033	经营服务公司报关楼	1437199	园区运营中心其他
1413251	风华剧院B座	1437199	园区运营中心其他
1413252	碧涛中心	1437199	园区运营中心其他
1413255	职工俱乐部（门店）	1437199	园区运营中心其他
1413268	新时代北商业用地	1437199	园区运营中心其他
1413290	碧涛苑	1437199	园区运营中心其他
1417197	辅助楼	1437200	南油集团-辅助楼
1436252	雪浪小镇（含新泽广场）	1437241	无锡太湖新城
